date,followers,following,posts
2019-09-08 15:42:32.026749,190500,160,1773
2019-09-09 12:00:03.187746,190700,160,1774
2019-09-10 12:00:02.818769,190900,160,1775
2019-09-11 12:00:02.450364,191100,160,1777
2019-09-12 12:00:03.330241,191400,160,1777
2019-09-13 12:00:02.518158,191700,160,1778
2019-09-14 12:00:02.967386,192000,160,1779
2019-09-15 12:00:03.010362,192300,160,1779
2019-09-16 12:00:02.665945,192600,160,1779
2019-09-17 12:00:02.783590,192800,160,1781
2019-09-18 12:00:02.796516,193100,160,1782
2019-09-19 12:00:03.249167,193300,160,1783
2019-09-20 12:00:02.427414,193500,160,1784
2019-09-21 12:00:02.763839,193800,160,1784
2019-09-22 12:00:02.778078,194200,160,1784
2019-09-23 12:00:02.459641,194400,160,1785
2019-09-24 12:00:02.741908,194600,160,1785
2019-09-25 12:00:02.804043,194900,160,1786
2019-09-26 12:00:02.382739,195100,159,1786
2019-09-27 12:00:03.037744,195300,159,1788
2019-09-28 12:00:02.545689,195500,159,1788
2019-09-29 12:00:03.216930,195700,159,1789
2019-09-30 12:00:03.134041,195900,159,1789
2019-10-01 12:00:02.903315,196100,159,1789
2019-10-02 12:00:02.902573,196300,159,1791
2019-10-03 12:00:03.280231,196600,159,1791
2019-10-04 12:00:03.094679,196700,158,1791
2019-10-05 12:00:02.402467,196900,158,1793
2019-10-06 12:00:03.546663,197100,158,1794
2019-10-07 12:00:02.504643,197300,158,1794
2019-10-08 12:00:02.541866,197500,158,1796
2019-10-09 12:00:02.870167,197700,158,1797
2019-10-10 12:00:02.963706,198000,158,1798
2019-10-11 12:00:02.410627,198200,158,1799
2019-10-12 12:00:03.084788,198300,158,1800
2019-10-13 12:00:02.841716,198700,158,1800
2019-10-14 12:00:03.290552,198900,158,1801
2019-10-15 12:00:02.613725,199200,159,1802
2019-10-16 12:00:03.184586,199400,158,1803
2019-10-17 12:00:02.868644,199700,159,1803
2019-10-18 12:00:02.710624,200000,159,1803
2019-10-19 12:00:02.459127,200200,160,1803
2019-10-20 12:00:02.482970,200400,160,1803
2019-10-21 12:00:03.166040,200600,160,1804
2019-10-22 12:00:02.705252,200800,160,1804
2019-10-23 12:00:02.842877,201000,161,1805
2019-10-24 12:00:02.486312,201200,160,1805
2019-10-25 12:00:02.975589,201300,160,1807
2019-10-26 12:00:02.853433,201600,160,1807
2019-10-27 12:00:03.384957,201800,160,1807
2019-10-28 12:00:02.443757,202000,160,1808
2019-10-29 12:00:03.011528,202200,160,1808
2019-10-30 12:00:03.261404,202300,160,1809
2019-10-31 12:00:02.589620,202400,160,1810
2019-11-01 12:00:03.109233,202500,160,1810
2019-11-02 12:00:02.600922,202800,160,1810
2019-11-03 12:00:02.409125,202900,160,1810
2019-11-04 12:00:02.443869,203100,160,1811
2019-11-05 12:00:02.938240,203200,160,1812
2019-11-06 12:00:02.335189,203300,160,1812
2019-11-07 12:00:02.416101,203500,160,1812
2019-11-08 12:00:02.411487,203600,160,1813
2019-11-09 12:00:02.659628,203800,160,1813
2019-11-10 12:00:03.026972,203900,160,1813
2019-11-11 12:00:03.243106,204000,160,1814
2019-11-12 12:00:02.959325,204100,160,1814
2019-11-13 12:00:02.672490,204200,161,1815
2019-11-14 12:00:03.229646,204300,162,1816
2019-11-15 12:00:02.685901,204400,162,1816
2019-11-16 12:00:02.582101,204500,162,1816
2019-11-17 12:00:02.676879,204600,161,1816
2019-11-18 12:00:02.483388,204700,161,1816
2019-11-19 12:00:03.145573,204800,161,1817
2019-11-20 12:00:02.676672,204900,162,1818
2019-11-21 12:00:03.336318,205000,162,1819
2019-11-22 12:00:03.218215,205100,162,1819
2019-11-23 12:00:02.666480,205300,162,1819
2019-11-24 12:00:02.479760,205400,162,1819
2019-11-25 12:00:02.696260,205600,162,1820
2019-11-26 12:00:02.373614,205600,162,1820
2019-11-27 12:00:03.288203,205600,162,1821
2019-11-28 12:00:02.663601,205700,162,1821
2019-11-29 12:00:02.785964,205800,162,1821
2019-11-30 12:00:03.042797,205900,162,1821
2019-12-01 12:00:02.433345,205900,162,1821
2019-12-02 12:00:02.601025,206000,162,1821
2019-12-03 12:00:02.502711,206300,162,1823
2019-12-04 12:00:02.602214,206300,162,1823
2019-12-05 12:00:03.167510,206100,162,1824
2019-12-06 12:00:02.382047,206200,162,1825
2019-12-07 12:00:03.186836,206300,162,1825
2019-12-08 12:00:03.128708,206400,162,1825
2019-12-09 12:00:02.578189,206500,162,1825
2019-12-10 12:00:02.639605,206600,162,1826
2019-12-11 12:00:02.652624,206700,162,1826
2019-12-12 12:00:03.232703,206700,162,1827
2019-12-13 12:00:02.362799,206600,162,1828
2019-12-14 12:00:02.470547,206700,162,1829
2019-12-15 12:00:03.252471,206900,162,1829
2019-12-16 12:00:03.011568,207000,163,1829
2019-12-17 12:00:02.531680,207100,163,1831
2019-12-18 12:00:03.124816,207200,163,1832
2019-12-19 12:00:03.139765,207300,163,1832
2019-12-20 12:00:02.915944,207400,163,1832
2019-12-21 12:00:03.051072,207400,163,1833
2019-12-22 12:00:03.589190,207500,163,1834
2019-12-23 12:00:02.685075,207500,163,1835
2019-12-24 12:00:02.707911,207600,163,1835
