admission_rate,sat_score,cost_attendance,income_avg,income_med,size,lat,lon,city,name,ownership,region,state,locale_type,locale_size
0.9475,944.0,25927.0,28264.0,19680.0,4110.0,32.523797,-92.713245,Grambling,Grambling State University,public,southeast,LA,town,medium
0.7926000000000001,1150.0,21512.0,48213.0,35407.0,6253.0,38.186768,-83.434021,Morehead,Morehead State University,public,southeast,KY,town,small
0.30060000000000003,1372.0,31891.0,53756.0,35914.0,30279.0,32.877749,-117.235866,La Jolla,University of California-San Diego,public,far west,CA,city,large
0.23020000000000002,,16714.0,36292.0,27270.0,9142.0,35.350005,-119.104711,Bakersfield,California State University-Bakersfield,public,far west,CA,city,large
,,40386.0,70992.0,46576.0,540.0,34.17972,-118.538793,Tarzana,Columbia College Hollywood,private non-profit,far west,CA,city,large
0.5483,991.0,18522.0,35681.0,25849.0,17704.0,34.182622,-117.323801,San Bernardino,California State University-San Bernardino,public,far west,CA,city,medium
0.5515,1143.0,21302.0,43622.0,29032.0,24841.0,34.057912,-117.821476,Pomona,California State Polytechnic University-Pomona,public,far west,CA,suburb,large
0.8382000000000001,1031.0,54912.0,50278.0,35520.0,2349.0,34.085315,-118.482879,Los Angeles,Mount Saint Mary's University,private non-profit,far west,CA,city,large
0.45480000000000004,1042.0,57546.0,68501.0,49601.0,706.0,37.453475,-122.190797,Atherton,Menlo College,private non-profit,far west,CA,suburb,large
0.35650000000000004,1330.0,70862.0,102190.0,69305.0,3619.0,34.037786,-118.707077,Malibu,Pepperdine University,private non-profit,far west,CA,suburb,large
,,,52788.0,30597.0,762.0,37.82029,-122.266331,Oakland,Samuel Merritt University,private non-profit,far west,CA,city,large
0.9441,1158.0,61776.0,61810.0,37380.0,1080.0,33.956607,-118.416615,Los Angeles,Otis College of Art and Design,private non-profit,far west,CA,city,large
0.3458,1213.0,22990.0,53802.0,32530.0,30018.0,32.77525,-117.071228,San Diego,San Diego State University,public,far west,CA,city,large
0.5292,1285.0,64732.0,102808.0,70085.0,5760.0,32.770815999999996,-117.192073,San Diego,University of San Diego,private non-profit,far west,CA,city,large
0.7595000000000001,1126.0,56292.0,81480.0,64984.0,1719.0,33.978773,-118.032299,Whittier,Whittier College,private non-profit,far west,CA,suburb,large
,,43486.0,43279.0,29376.0,4936.0,39.71388,-105.09456,Lakewood,Colorado Christian University,private non-profit,rocky mountains,CO,city,medium
0.7113,,26600.0,42193.0,40088.0,155.0,34.085465,-118.346613,Los Angeles,Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,private non-profit,far west,CA,city,large
0.5647,1300.0,64513.0,113088.0,80202.0,5791.0,39.678005,-104.963259,Denver,University of Denver,private non-profit,rocky mountains,CO,city,large
0.7247,1190.0,63157.0,123919.0,106325.0,7371.0,41.418915,-72.894117,Hamden,Quinnipiac University,private non-profit,new england,CT,suburb,large
0.655,,51728.0,58582.0,38662.0,5925.0,29.189903,-81.048367,Daytona Beach,Embry-Riddle Aeronautical University-Daytona Beach,private non-profit,southeast,FL,city,small
0.9529000000000001,1126.0,45037.0,75288.0,52817.0,2400.0,26.7044,-80.05247,West Palm Beach,Palm Beach Atlantic University,private non-profit,southeast,FL,city,medium
0.33190000000000003,,26552.0,27905.0,20624.0,1117.0,25.918278,-80.270753,Miami Gardens,Florida Memorial University,private non-profit,southeast,FL,suburb,large
0.5023,1230.0,49296.0,83551.0,66112.0,2666.0,28.032443,-81.948203,Lakeland,Florida Southern College,private non-profit,southeast,FL,city,medium
0.3875,1362.0,21034.0,58287.0,39127.0,34564.0,29.64629,-82.347911,Gainesville,University of Florida,public,southeast,FL,city,medium
0.6664,,65487.0,71988.0,43978.0,2571.0,28.592787,-81.349239,Winter Park,Rollins College,private non-profit,southeast,FL,suburb,large
