name,instagram,follower_curr,follower_mean,follower_med,follower_std,follower_min,follower_max,following_curr,following_mean,following_med,following_std,following_min,following_max,posts_curr,posts_mean,posts_med,posts_std,posts_min,posts_max,admission_rate,sat_score,cost_attendance,income_avg,income_med,size,lat,lon,city,ownership,region,state,locale_type,locale_size
Pomona College,pomonacollege,11700.0,10446.5234375,10200.0,577.4813364657083,9428.0,11700.0,98.0,319.203125,90.0,545.0010279920599,73.0,1608.0,1659.0,1609.6153846153845,1626.0,38.78091849255644,1529.0,1659.0,0.0761,1468.0,69725.0,67046.0,42689.0,1549.0,34.099027,-117.714556,Claremont,private non-profit,far west,CA,suburb,large
Princeton University,princeton,352700.0,320559.3525179856,320800.0,14771.290170383394,289600.0,352700.0,513.0,468.4928057553957,465.0,18.094565633270054,440.0,513.0,3018.0,2876.327338129496,2877.5,57.244715431858204,2772.0,3018.0,0.0548,1503.0,66950.0,63667.0,37036.0,5301.0,40.348732,-74.659365,Princeton,private non-profit,mid east,NJ,suburb,large
Rice University,riceuniversity,37600.0,34737.5,34450.0,1102.193523234394,32700.0,37600.0,711.0,716.2729591836735,717.0,2.7763125590321676,709.0,721.0,1588.0,1531.4770408163265,1530.0,41.82847062592297,1460.0,1588.0,0.11130000000000001,1513.0,63158.0,84483.0,65041.0,3962.0,29.717897,-95.402035,Houston,private non-profit,southwest,TX,city,large
Scripps College,scrippscollege,6999.0,6364.552083333333,6338.5,344.800948966474,5754.0,6999.0,175.0,147.44010416666666,143.0,11.358462919104959,129.0,175.0,702.0,666.8932291666666,668.0,22.715554211206918,629.0,702.0,0.2424,1409.0,71060.0,115442.0,78713.0,1048.0,34.104147,-117.711294,Claremont,private non-profit,far west,CA,suburb,large
Stanford University,stanford,799300.0,725531.3782991202,736500.0,51836.36681202855,622200.0,799300.0,174.0,204.88856304985336,186.0,30.525291606059774,174.0,245.0,1599.0,1521.2873900293255,1537.0,55.974359565396135,1409.0,1599.0,0.0436,1497.0,69109.0,80447.0,44842.0,7083.0,37.429434,-122.167359,Stanford,private non-profit,far west,CA,suburb,large
Swarthmore College,swarthmorecollege,11000.0,9653.336336336337,9622.0,747.2265312117725,8294.0,11000.0,122.0,110.81381381381381,108.0,8.591543975380267,96.0,122.0,1815.0,1741.063063063063,1753.0,54.10686869508321,1644.0,1815.0,0.0949,1465.0,68846.0,89476.0,48016.0,1544.0,39.905159,-75.354278,Swarthmore,private non-profit,mid east,PA,suburb,large
Tufts University,tuftsuniversity,37500.0,33337.86008230453,34100.0,2719.9080010289226,28600.0,37500.0,260.0,245.69135802469137,247.0,9.06173770845904,231.0,260.0,1406.0,1350.3356643356644,1358.5,37.54883492591949,1280.0,1406.0,0.1462,1461.0,70567.0,109816.0,85929.0,5597.0,42.40855,-71.118293,Medford,private non-profit,new england,MA,suburb,large
Tulane University of Louisiana,tulaneu,39100.0,34079.858657243814,34300.0,3075.0166893085066,28200.0,39100.0,486.0,440.9187279151943,442.0,31.13520792999698,394.0,486.0,2767.0,2675.4593639575974,2684.0,54.46146020647047,2573.0,2767.0,0.1733,1428.0,69517.0,106022.0,64959.0,7920.0,29.940069,-90.122144,New Orleans,private non-profit,southeast,LA,city,large
University of California-Berkeley,ucberkeleyofficial,186000.0,172513.07420494698,173800.0,8103.256858907069,158300.0,186000.0,232.0,219.57597173144876,219.0,6.248720892592683,211.0,233.0,1826.0,1738.3957597173144,1763.0,69.1859882842187,1603.0,1826.0,0.1484,1448.0,36739.0,54799.0,31227.0,30845.0,37.871918,-122.260463,Berkeley,public,far west,CA,city,medium
University of Chicago,uchicago,116800.0,102192.60204081633,100650.0,9675.450589363169,85100.0,116800.0,284.0,271.5765306122449,271.0,6.153971558081774,260.0,284.0,1247.0,1186.9030612244899,1192.0,37.355289970962026,1112.0,1247.0,0.0726,1520.0,75735.0,100617.0,47139.0,6600.0,41.787994,-87.599539,Chicago,private non-profit,great lakes,IL,city,large
