2020-01-16 12:00:39.115502,See,posts,University
2020-01-17 12:00:23.323474,See,posts,University
2020-01-18 12:00:24.709049,See,posts,University
2020-01-19 12:00:24.692710,See,posts,University
2020-01-20 12:00:25.038491,See,posts,University
2020-01-21 12:00:24.846210,See,posts,University
2020-01-22 12:00:23.935748,See,posts,University
2020-01-23 12:00:24.467970,See,posts,University
2020-01-24 12:00:24.597989,See,posts,University
2020-01-25 12:00:25.050053,See,posts,University
2020-01-27 12:00:26.513338,See,posts,University
2020-01-28 12:00:25.704568,See,posts,University
2020-01-29 12:00:23.115613,See,posts,University
2020-01-30 12:00:25.120421,See,posts,University
2020-01-31 12:00:25.727660,See,posts,University
2020-02-01 12:00:23.858717,See,posts,University
2020-02-02 12:00:24.242660,See,posts,University
2020-02-03 12:00:24.967214,See,posts,University
2020-02-04 12:00:25.645481,See,posts,University
2020-02-05 12:00:24.253261,See,posts,University
2020-02-06 12:00:28.326084,See,posts,University
2020-02-07 12:00:26.435631,See,posts,University
2020-02-08 12:00:25.043820,See,posts,University
2020-02-09 12:00:25.826980,See,posts,University
2020-02-10 12:00:26.400461,See,posts,University
2020-02-11 12:00:28.897255,See,posts,University
2020-02-12 12:00:27.268640,See,posts,University
2020-02-13 12:00:31.284307,See,posts,University
2020-02-14 12:00:29.600847,See,posts,University
2020-02-15 12:00:24.783821,See,posts,University
2020-02-16 12:00:26.314348,See,posts,University
2020-02-17 12:00:25.883685,See,posts,University
2020-02-18 12:00:25.658796,See,posts,University
2020-02-19 12:00:27.662919,See,posts,University
2020-02-20 12:00:26.441244,See,posts,University
2020-02-21 12:00:32.477458,See,posts,University
2020-02-22 12:00:24.996596,See,posts,University
2020-02-23 12:00:25.450215,See,posts,University
2020-02-24 12:00:27.353585,See,posts,University
2020-02-25 12:00:25.020580,See,posts,University
2020-02-26 12:00:27.079333,See,posts,University
2020-02-27 12:00:25.543444,See,posts,University
2020-02-28 12:00:28.343925,See,posts,University
2020-02-29 12:00:25.117148,See,posts,University
2020-03-01 12:00:25.199472,See,posts,University
2020-03-02 12:00:26.118027,See,posts,University
2020-03-03 12:00:25.151660,86.4k,296,1635
2020-03-04 12:00:25.215511,86.4k,296,1635
2020-03-05 12:00:24.915519,86.4k,296,1635
2020-03-06 12:00:26.644289,86.5k,296,1635
2020-03-07 12:00:27.085150,86.5k,296,1635
2020-03-09 12:00:24.651687,86.6k,296,1635
2020-03-10 12:00:25.068490,86.7k,296,1636
2020-03-11 12:00:26.325794,86.7k,296,1636
2020-03-12 12:00:25.648702,86.8k,296,1636
2020-03-13 12:00:26.251843,86.9k,296,1636
2020-03-14 12:00:25.156601,86.9k,296,1637
2020-03-15 12:00:26.065763,86.9k,296,1637
2020-03-16 12:00:30.376062,86.9k,296,1637
2020-03-17 12:00:28.998288,86.9k,296,1638
2020-03-18 12:00:26.783780,86.9k,296,1638
2020-03-19 12:00:26.872207,87k,296,1638
2020-03-20 12:00:28.692484,87k,296,1638
2020-03-21 12:00:27.051556,87k,296,1638
2020-03-22 12:00:36.354909,87k,296,1638
2020-03-23 12:00:25.823601,87.1k,296,1638
2020-03-24 12:00:27.755563,87.1k,296,1638
2020-03-25 12:00:29.647253,87.1k,295,1638
2020-03-26 12:00:30.139827,87.1k,295,1638
